seed,nx,ny,nz,sent_tail_radius,repair_tail_frac,W_decay,BSI,RFC,RLI,SPI,D_q50,D_q95,sent_q95
2,48,48,3,14,0.8,0.0008,1.00469,0.346567,0,0.188406,4.93858,14.6691,0.126246
3,48,48,3,14,0.8,0.0008,1.00763,0.420886,0,0.0362319,4.94673,14.6885,0.12741
3,48,48,3,2,0.65,0.0002,1.02414,0.536412,0,0.0434783,1.69724,8.99314,0.186144
4,48,48,3,14,0.8,0.0008,1.00856,0.158017,0,0.123188,4.92024,14.6271,0.128578
1,48,48,3,14,0.8,0.001,1.01018,0,0,0.123188,4.94301,14.7176,0.129878
2,48,48,3,14,0.8,0.001,1.00898,0.240646,0,0.166667,4.93598,14.6634,0.126648
3,48,48,3,14,0.8,0.001,1.00988,0.525059,0,0.0652174,4.93944,14.6623,0.128937
4,48,48,3,14,0.8,0.001,1.00463,0.620001,0,0.0289855,4.92967,14.6438,0.127566
1,48,48,3,14,0.8,0.002,1.02326,0,0,0.15942,4.93152,14.6742,0.130826
2,48,48,3,14,0.8,0.002,1.01797,0.261092,0,0.0942029,4.9214,14.6272,0.129151
3,48,48,3,14,0.8,0.002,1.01808,0.874033,0,0.0434783,4.92001,14.6184,0.131082
4,48,48,3,14,0.8,0.002,1.01479,0.220186,0,0.130435,4.91257,14.609,0.130555
1,48,48,3,14,0.85,0,0.986663,0.888242,0,0.0144928,4.73039,13.8901,0.121446
4,48,48,3,2,0.65,0.0002,1.02259,0.791636,0,0.0289855,1.8356,8.93554,0.184388
2,48,48,3,14,0.85,0,0.987235,0.862211,0,0,4.72159,13.8533,0.121421
3,48,48,3,14,0.85,0,0.985685,0.733338,0,0,4.70511,13.7808,0.120869
4,48,48,3,14,0.85,0,0.985449,0.270191,0,0,4.70325,13.7742,0.121941
1,48,48,3,14,0.85,0.0001,0.9854,0.930975,0,0,4.70257,13.7747,0.121381
2,48,48,3,14,0.85,0.0001,0.987022,0.843598,0,0,4.72563,13.8642,0.121452
3,48,48,3,14,0.85,0.0001,0.9858,0.732618,0,0,4.70586,13.7842,0.120867
4,48,48,3,14,0.85,0.0001,0.985435,0.245776,0,0,4.70335,13.7776,0.121936
1,48,48,3,14,0.85,0.0002,0.986358,0.847454,0,0.0217391,4.73215,13.8997,0.121434
2,48,48,3,14,0.85,0.0002,0.987154,0.669973,0,0,4.72908,13.8867,0.121425
3,48,48,3,14,0.85,0.0002,0.985972,0.703627,0,0,4.70467,13.7841,0.12087
1,48,48,3,2,0.65,0.0004,1.02439,0.498528,0,0.0217391,1.52607,8.72391,0.184833
2,48,48,3,2,0.5,0.0002,1.00782,0.260502,0,0.0217391,2.78244,18.0354,0.172678
4,48,48,3,14,0.85,0.0002,0.985295,0.255443,0,0,4.70414,13.778,0.121943
1,48,48,3,14,0.85,0.0004,0.987103,0.787896,0,0.0217391,4.73098,13.8958,0.121481
2,48,48,3,14,0.85,0.0004,0.986811,0.861709,0,0,4.72493,13.8651,0.121372
3,48,48,3,14,0.85,0.0004,0.986273,0.699999,0,0,4.70477,13.7833,0.120871
4,48,48,3,14,0.85,0.0004,0.985866,0.264381,0,0,4.70356,13.7792,0.121966
1,48,48,3,14,0.85,0.0006,0.987346,0.819217,0,0.0144928,4.74545,13.9713,0.121369
2,48,48,3,14,0.85,0.0006,0.987171,0.785637,0,0.0217391,4.73926,13.9384,0.121356
3,48,48,3,14,0.85,0.0006,0.98587,0.743682,0,0,4.7054,13.7807,0.120802
4,48,48,3,14,0.85,0.0006,0.985413,0.265314,0,0,4.70276,13.776,0.121944
1,48,48,3,14,0.85,0.0008,0.987071,0.794784,0,0.0217391,4.74082,13.9345,0.121414
2,48,48,3,2,0.65,0.0004,1.02032,0.361513,0,0.0217391,1.52773,9.02411,0.186619
2,48,48,3,14,0.85,0.0008,0.986943,0.757365,0,0.0362319,4.7403,13.9428,0.121636
