sent_tail_radius,repair_tail_frac,W_decay
1,0.595,7.5e-05
1,0.595,9e-05
1,0.595,0.0001
1,0.595,0.00011
1,0.595,0.000125
1,0.595,0.00015
1,0.595,0.00018
1,0.595,0.0002
1,0.595,0.00022
1,0.595,0.00025
1,0.595,0.0003
1,0.595,0.00036
1,0.595,0.0004
1,0.595,0.00044
1,0.595,0.00045
1,0.595,0.0005
1,0.595,0.00054
1,0.595,0.0006
1,0.595,0.00066
1,0.595,0.00072
1,0.595,0.00075
1,0.595,0.0008
1,0.595,0.00088
1,0.595,0.0009
1,0.595,0.001
1,0.595,0.0011
1,0.595,0.0012
1,0.595,0.00125
1,0.595,0.0015
1,0.595,0.0018
1,0.595,0.002
1,0.595,0.0022
1,0.595,0.0025
1,0.595,0.003
1,0.6,5e-05
1,0.6,7.5e-05
1,0.6,9e-05
1,0.6,0.0001
1,0.6,0.00011
1,0.6,0.000125
1,0.6,0.00015
1,0.6,0.00018
1,0.6,0.0002
1,0.6,0.00022
1,0.6,0.00025
1,0.6,0.0003
1,0.6,0.00036
1,0.6,0.0004
1,0.6,0.00044
1,0.6,0.00045
1,0.6,0.0005
1,0.6,0.00054
1,0.6,0.0006
1,0.6,0.00066
1,0.6,0.00072
1,0.6,0.00075
1,0.6,0.0008
1,0.6,0.00088
1,0.6,0.0009
1,0.6,0.001
1,0.6,0.0011
1,0.6,0.0012
1,0.6,0.00125
1,0.6,0.0015
1,0.6,0.0018
1,0.6,0.002
1,0.6,0.0022
1,0.6,0.0025
1,0.6,0.003
1,0.605,5e-05
1,0.605,7.5e-05
1,0.605,9e-05
1,0.605,0.0001
1,0.605,0.00011
1,0.605,0.000125
1,0.605,0.00015
1,0.605,0.00018
1,0.605,0.0002
1,0.605,0.00022
1,0.605,0.00025
1,0.605,0.0003
1,0.605,0.00036
1,0.605,0.0004
1,0.605,0.00044
1,0.605,0.00045
1,0.605,0.0005
1,0.605,0.00054
1,0.605,0.0006
1,0.605,0.00066
1,0.605,0.00072
1,0.605,0.00075
1,0.605,0.0008
1,0.605,0.00088
1,0.605,0.0009
1,0.605,0.001
1,0.605,0.0011
1,0.605,0.0012
1,0.605,0.00125
1,0.605,0.0015
1,0.605,0.0018
1,0.605,0.002
1,0.605,0.0022
1,0.605,0.0025
1,0.605,0.003
1,0.61,5e-05
1,0.61,7.5e-05
1,0.61,9e-05
1,0.61,0.0001
1,0.61,0.00011
1,0.61,0.000125
1,0.61,0.00015
1,0.61,0.00018
1,0.61,0.0002
1,0.61,0.00022
1,0.61,0.00025
1,0.61,0.0003
1,0.61,0.00036
1,0.61,0.0004
1,0.61,0.00044
1,0.61,0.00045
1,0.61,0.0005
1,0.61,0.00054
1,0.61,0.0006
1,0.61,0.00066
1,0.61,0.00072
1,0.61,0.00075
1,0.61,0.0008
1,0.61,0.00088
1,0.61,0.0009
1,0.61,0.001
1,0.61,0.0011
1,0.61,0.0012
1,0.61,0.00125
1,0.61,0.0015
1,0.61,0.0018
1,0.61,0.002
1,0.61,0.0022
1,0.61,0.0025
1,0.61,0.003
1,0.62,5e-05
1,0.62,7.5e-05
1,0.62,9e-05
1,0.62,0.0001
1,0.62,0.00011
1,0.62,0.000125
1,0.62,0.00015
1,0.62,0.00018
1,0.62,0.0002
1,0.62,0.00022
1,0.62,0.00025
1,0.62,0.0003
1,0.62,0.00036
1,0.62,0.0004
1,0.62,0.00044
1,0.62,0.00045
1,0.62,0.0005
1,0.62,0.00054
1,0.62,0.0006
1,0.62,0.00066
1,0.62,0.00072
1,0.62,0.00075
1,0.62,0.0008
1,0.62,0.00088
1,0.62,0.0009
1,0.62,0.001
1,0.62,0.0011
1,0.62,0.0012
1,0.62,0.00125
1,0.62,0.0015
1,0.62,0.0018
1,0.62,0.002
1,0.62,0.0022
1,0.62,0.0025
1,0.62,0.003
1,0.63,0.0
1,0.63,1e-06
1,0.63,5e-05
1,0.63,7.5e-05
1,0.63,9e-05
1,0.63,0.0001
1,0.63,0.00011
1,0.63,0.000125
1,0.63,0.00015
1,0.63,0.00018
